ticker1,ticker2,correlation,coint_pval,adf_stat,half_life_days,hurst,rolling_beta_std
GOOG,GOOGL,0.96645264483392,3.745271278911735e-08,-6.728321732347813,0.4534470123236388,0.14467933618086026,0.017279612468464968
PAA,PAGP,0.8548690878486241,0.00015902241064432536,-5.008194743071702,2.407087649798437,0.1898960345920111,0.08826099996331077
CTRA,AR,0.6981323153436361,0.0014921195586831435,-4.447460315227152,10.876917300485914,0.23853113782061386,0.1578605971330248
CTRA,CRK,0.6776841292133643,0.003528935908092901,-4.2094922432660065,13.685944735047201,0.24200506875186767,0.1632822183585744
SHO,HST,0.7489713845233383,0.0324044833984572,-3.499909656662595,12.175942725873679,0.22948583772569453,0.18271641240241507
KMI,OVV,0.6345701099446673,0.008539985748817367,-3.9467541043043908,11.152014752329743,0.24256636645201995,0.19215520353283333
EOG,COP,0.8501294818292336,0.013071978866176373,-3.8118094201686756,12.512585920965472,0.24345084790784072,0.19541983000593208
KMI,DVN,0.6637835122337729,0.006934813085152316,-4.010608980734999,10.864299708168982,0.244774449304414,0.19674123510315375
TXN,ON,0.6809491333093737,0.015746706896170304,-3.750759355608117,14.884253171823334,0.24486681954767608,0.20271389314995156
KMI,OKE,0.7610774118010665,0.027528000695311482,-3.5587818054210163,14.707700340066626,0.2445049430407072,0.21623434551329498
ADI,MCHP,0.8210805363445022,0.0113707097131733,-3.856715111904816,12.500795232940268,0.23955533940517545,0.21811319978024316
RF,HBAN,0.7701256241447162,0.023862304175145652,-3.6092492426477656,11.157379430939995,0.236077420112154,0.23070699045296608
MA,V,0.8204442525526415,0.00047634917912766175,-4.742272431551204,6.294179612240441,0.22972503086235171,0.2307271549834098
KMI,CNQ,0.6391094399267534,0.02324518255350747,-3.61840350904241,14.015824445998033,0.24541098780071313,0.23416765842039383
KEY,CFG,0.7746637032236422,0.023723084477609405,-3.611299355573566,12.82195165487963,0.23718432932665728,0.24054021090335825
KMI,SLB,0.6204123734845411,0.005139649874487147,-4.100284243297596,11.797361466335763,0.24725073119946928,0.24165343431296657
MS,BEN,0.6364497557705042,0.01891392296842653,-3.689241973468243,11.065094746910374,0.24438731550220777,0.2475339913673062
KMI,HAL,0.6598035726726469,0.029829012208586813,-3.5299667743081224,14.594044589261772,0.2459757473387657,0.2476038746435164
KMI,COP,0.6687147207601883,0.022358605581070865,-3.6319195102942383,14.136512813040799,0.2466548279605459,0.24785839058311368
KMI,VLO,0.588899339150965,0.011227523574971249,-3.8607415744171516,12.904997908180976,0.24690159073140291,0.25381860488511426
EPD,PAGP,0.614227524885704,0.007827539045675734,-3.973643656502476,12.629428356538918,0.24303532610370956,0.25792070508414977
KMI,EOG,0.6672608133377033,0.04930419145460914,-3.341268653674491,15.33364274779079,0.24480316230721602,0.2593637279463196
EPD,OKE,0.6298381515489253,0.013288415506994894,-3.8065206273888346,15.724605843038637,0.2423273965967584,0.262219672933057
KMI,CVE,0.6046748285920157,0.030392620768507357,-3.5232007329278456,14.368699125421266,0.24447413059247305,0.26327112670006575
EQH,SYF,0.6538407615482656,0.00654086504607461,-4.028321123524138,12.218481638632129,0.2436319028804394,0.2638509960297995
EPD,PAA,0.5931356040549071,0.005992251693954484,-4.054653874836254,12.26739974146354,0.24427914873212175,0.2676047700900046
KEY,TFC,0.7841812095365157,0.014821061470804042,-3.770766276202284,12.12283599297076,0.2342397758091806,0.2682003267799503
KMI,MPC,0.6172883306589488,0.004197263250874268,-4.159548009118703,11.510559838182415,0.2472980751188371,0.2713369752331057
CTRA,EQT,0.7059327937899307,0.007679960897321424,-3.9794784363132436,13.164717406539259,0.24247888438412843,0.2718642279661202
AM,CNQ,0.5995089903388273,0.016810551237472635,-3.72900466098305,13.586547035469401,0.242617823663592,0.27387072504188775
MS,GM,0.592749868897686,0.01412990560361391,-3.786446988119413,13.576095381169017,0.24592912733176092,0.2745942115129768
AEP,ETR,0.7090632102803778,0.0037932588478347346,-4.188776615064346,8.089094723661383,0.2376367274224845,0.27595083238543894
EOG,NOV,0.6616666249885088,0.009715503648578967,-3.906522727620131,12.616067762871207,0.24507987061957687,0.2797285414043799
KMI,AM,0.6394815739812332,0.009111813822035051,-3.9266056683296306,12.439090288176532,0.24680317062868865,0.28393958133862274
RF,CFG,0.7932195063736088,0.010810416363871103,-3.8727935414752968,11.53472630760656,0.22993997201331984,0.2848170493073025
ET,PAGP,0.6166190405332311,0.004499172121898557,-4.139370426847666,11.225431576493074,0.23750158178820507,0.2849205494450147
KIM,IVZ,0.6087184566302134,0.014916619930505328,-3.768649546334912,12.653860269569844,0.2458385034941769,0.2946561519292269
KMI,SU,0.6300690058044314,0.028046966326082966,-3.5521039251855484,13.95359382967855,0.24349925474459871,0.30036646093063746
KMI,PSX,0.6145267369504638,0.006271143858654202,-4.041006681940634,12.065446955811526,0.24719936262609074,0.3004913174429328
KMI,BKR,0.5856145797715797,0.014284970949673901,-3.7828722314351517,13.36238509733708,0.24674908958011996,0.30210479868503626
