ticker1,ticker2
GOOG,GOOGL
PAA,PAGP
CTRA,AR
CTRA,CRK
SHO,HST
KMI,OVV
EOG,COP
KMI,DVN
TXN,ON
KMI,OKE
ADI,MCHP
RF,HBAN
MA,V
KMI,CNQ
KEY,CFG
KMI,SLB
MS,BEN
KMI,HAL
KMI,COP
KMI,VLO
EPD,PAGP
KMI,EOG
EPD,OKE
KMI,CVE
EQH,SYF
EPD,PAA
KEY,TFC
KMI,MPC
CTRA,EQT
AM,CNQ
MS,GM
AEP,ETR
EOG,NOV
KMI,AM
RF,CFG
ET,PAGP
KIM,IVZ
KMI,SU
KMI,PSX
KMI,BKR
